id,gpt3_bug_type,gpt3_root_cause,gpt3_effect,gpt4_bug_type,gpt4_root_cause,gpt4_effect,claude_bug_type,claude_root_cause,claude_effect,deepseek_bug_type,deepseek_root_cause,deepseek_effect
62067400,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Unknown,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Unknown,SB.Logic Bugs,Confusion with Computation Model(CCM),Unknown,SB.Control and Sequence Bug,Unaligned Tensor (UT),Incorrect Functionality
62081155,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
62543843,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Unknown,API Bug,API Change (APIC),Crash,API Bug,Unaligned Tensor (UT),Incorrect Functionality
63061779,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Unknown,SB.Logic Bugs,Confusion with Computation Model(CCM),Bad Performance,SB.Logic Bugs,API Misuse (APIM),Crash
64047261,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
64320883,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
64334033,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
64663385,API Bug,Incorrect Model Parameter or Structure (IPS),Bad Performance,API Bug,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,API Bug,API Misuse (APIM),Bad Performance,Data Bug,Unaligned Tensor (UT),Incorrect Functionality
64914598,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Control and Sequence Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
65710713,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,Unaligned Tensor (UT),Crash
66091226,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,Unaligned Tensor (UT),Crash,SB.Control and Sequence Bug,Incorrect Model Parameter or Structure (IPS),Crash
66516388,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
66588715,SB.Data flow Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,API Bug,Unaligned Tensor (UT),Crash
66600362,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
67456368,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
67546911,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,API Bug,Structure Ineffciency (SI),Unknown,Data Bug,Incorrect Model Parameter or Structure (IPS),Unknown
68106457,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
68166721,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Control and Sequence Bug,Unaligned Tensor (UT),Crash,API Bug,Structure Ineffciency (SI),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
69742930,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
70110429,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Absence of type checking,Crash,Data Bug,Unaligned Tensor (UT),Crash
70544129,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
74289077,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
74594256,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,Unaligned Tensor (UT),Crash
59924310,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash
60101240,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
60253449,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
60259836,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
60439570,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
60700062,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
60873477,Data Bug,API Misuse (APIM),Crash,Data Bug,Absence of type checking,Crash,Data Bug,Absence of type checking,Crash,Data Bug,API Misuse (APIM),Crash
61033726,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash
61094394,API Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash
61115032,SB.Data flow Bug,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality
61215873,API Bug,Incorrect Model Parameter or Structure (IPS),Crash,API Bug,API Change (APIC),Crash,API Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,API Change (APIC),Crash
61562456,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,Absence of type checking,Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
61850304,SB.Data flow Bug,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,Unaligned Tensor (UT),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
61900138,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
61909973,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,Incorrect Model Parameter or Structure (IPS),Crash,API Bug,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash
61943896,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
61968540,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
62091135,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,SB.Control and Sequence Bug,API Change (APIC),Crash
62319228,Data Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
62416819,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
62472238,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash
62617533,SB.Data flow Bug,Absence of type checking,Crash,Data Bug,Absence of type checking,Crash,Data Bug,API Misuse (APIM),Crash,Data Bug,API Change (APIC),Crash
62699306,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash
62726792,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Absence of type checking,Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
63141267,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
63187161,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,Unaligned Tensor (UT),Crash
63383347,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Data flow Bug,Absence of type checking,Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
63463510,SB.Logic Bugs,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,API Misuse (APIM),Crash
63493193,SB.Data flow Bug,Unaligned Tensor (UT),Incorrect Functionality,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
63549736,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Crash,SB.Control and Sequence Bug,API Misuse (APIM),Crash
63572304,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Absence of type checking,Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Absence of type checking,Crash
63645357,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash
64278495,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,Structure Ineffciency (SI),Crash,API Bug,API Change (APIC),Crash
64499294,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Crash,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Control and Sequence Bug,API Misuse (APIM),Incorrect Functionality
64635630,SB.Data flow Bug,Absence of type checking,Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
64654838,SB.Control and Sequence Bug,API Misuse (APIM),Crash,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash
64679865,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Unknown,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash
64883998,SB.Data flow Bug,API Misuse (APIM),Incorrect Functionality,Data Bug,Confusion with Computation Model(CCM),Incorrect Functionality,Data Bug,Structure Ineffciency (SI),Incorrect Functionality,Data Bug,API Misuse (APIM),Incorrect Functionality
64975755,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Unknown
65023526,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
65226693,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
65428216,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
65575871,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
65945996,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
66074684,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,API Misuse (APIM),Crash
66478043,SB.Logic Bugs,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
66489112,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
66724071,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality
66854148,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Bad Performance,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,SB.Control and Sequence Bug,Absence of type checking,Crash
66936111,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,Data Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
66979328,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash
67064190,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
67102264,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,API Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Unaligned Tensor (UT),Crash
67104073,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
67117097,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
67180955,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,Data Bug,Unaligned Tensor (UT),Incorrect Functionality
67440324,SB.Logic Bugs,Absence of type checking,Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,Data Bug,API Misuse (APIM),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash
67520509,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,Absence of type checking,Crash,Data Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
67738319,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Logic Bugs,Structure Ineffciency (SI),Incorrect Functionality,Data Bug,Structure Ineffciency (SI),Incorrect Functionality,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality
67746193,Data Bug,Absence of type checking,Crash,Data Bug,Absence of type checking,Crash,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,API Misuse (APIM),Crash
67789148,SB.Logic Bugs,Confusion with Computation Model(CCM),Bad Performance,SB.Logic Bugs,Confusion with Computation Model(CCM),Bad Performance,SB.Logic Bugs,Confusion with Computation Model(CCM),Bad Performance,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Bad Performance
67815772,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
67838192,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
67845882,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash
68084302,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Control and Sequence Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash,SB.Data flow Bug,API Misuse (APIM),Crash
68243122,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash
68319216,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash
68396513,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Incorrect Functionality,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
68577198,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
68611397,SB.Logic Bugs,Confusion with Computation Model(CCM),Bad Performance,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,API Misuse (APIM),Crash
68719486,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
68742863,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
68807958,SB.Logic Bugs,API Misuse (APIM),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
69194640,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
69724009,SB.Data flow Bug,API Misuse (APIM),Bad Performance,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Absence of type checking,Crash
69778356,SB.Data flow Bug,API Misuse (APIM),Bad Performance,SB.Control and Sequence Bug,Structure Ineffciency (SI),Incorrect Functionality,SB.Control and Sequence Bug,Structure Ineffciency (SI),Incorrect Functionality,Data Bug,Unaligned Tensor (UT),Incorrect Functionality
70159221,Data Bug,Absence of type checking,Crash,Data Bug,Absence of type checking,Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,API Misuse (APIM),Crash
70191012,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance,Data Bug,Structure Ineffciency (SI),Bad Performance,SB.Data flow Bug,Structure Ineffciency (SI),Incorrect Functionality
70307952,API Bug,API Change (APIC),Bad Performance,SB.Control and Sequence Bug,Incorrect Model Parameter or Structure (IPS),Bad Performance,API Bug,Incorrect Model Parameter or Structure (IPS),Unknown,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality
70518288,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Bad Performance,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality
71011333,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
71166789,SB.Data flow Bug,Unaligned Tensor (UT),Bad Performance,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
71261347,SB.Control and Sequence Bug,API Misuse (APIM),Crash,Data Bug,Confusion with Computation Model(CCM),Crash,API Bug,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash
71399847,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
71503683,SB.Logic Bugs,Structure Ineffciency (SI),Crash,SB.Logic Bugs,Structure Ineffciency (SI),Crash,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Unaligned Tensor (UT),Incorrect Functionality
71693736,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,Confusion with Computation Model(CCM),Incorrect Functionality,SB.Logic Bugs,API Change (APIC),Incorrect Functionality
71713719,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,API Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash
71754506,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,Confusion with Computation Model(CCM),Incorrect Functionality,API Bug,API Misuse (APIM),Crash,Data Bug,API Misuse (APIM),Crash
72239086,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
72297590,SB.Data flow Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
72577170,SB.Control and Sequence Bug,Structure Ineffciency (SI),Bad Performance,SB.Data flow Bug,Structure Ineffciency (SI),Incorrect Functionality,SB.Data flow Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance
72776834,SB.Logic Bugs,API Misuse (APIM),Bad Performance,API Bug,API Misuse (APIM),Incorrect Functionality,API Bug,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash
72961448,SB.Control and Sequence Bug,Structure Ineffciency (SI),Bad Performance,Data Bug,Structure Ineffciency (SI),Bad Performance,Data Bug,Structure Ineffciency (SI),Bad Performance,SB.Logic Bugs,Structure Ineffciency (SI),Bad Performance
